date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min
3/21/2016,0.1561122,,,0.1561122,0.1561122
3/22/2016,0.1561122,,,0.1561122,0.1561122
3/23/2016,0.1561122,,,0.1561122,0.1561122
3/24/2016,0.1561122,,,0.1561122,0.1561122
3/25/2016,0.1561122,,,0.1561122,0.1561122
3/26/2016,0.1561122,,,0.1561122,0.1561122
3/27/2016,0.1561122,,,0.1561122,0.1561122
3/28/2016,0.1561122,,,0.1561122,0.1561122
3/29/2016,0.1561122,,,0.1561122,0.1561122
3/30/2016,0.1561122,,,0.1561122,0.1561122
3/31/2016,0.1561122,,,0.1561122,0.1561122
4/1/2016,0.21898961,,,0.21898961,0.21898961
4/2/2016,0.25025904,,,0.25025904,0.25025904
4/3/2016,0.34276497,,,0.34276497,0.34276497
4/4/2016,0.43879855,,,0.43879855,0.43879855
4/5/2016,0.59220874,,,0.59220874,0.59220874
4/6/2016,0.7498467,,,0.7498467,0.7498467
4/7/2016,0.8450154,,,0.8450154,0.8450154
4/8/2016,0.8450154,,,0.8450154,0.8450154
4/9/2016,0.8113401,,,0.8113401,0.8113401
4/10/2016,0.7823787,,,0.7823787,0.7823787
4/11/2016,0.7498467,,,0.7498467,0.7498467
4/12/2016,0.8113401,,,0.8113401,0.8113401
4/13/2016,0.8450154,,,0.8450154,0.8450154
4/14/2016,0.936422,,,0.936422,0.936422
4/15/2016,0.936422,,,0.936422,0.936422
4/16/2016,0.936422,,,0.936422,0.936422
4/17/2016,1.0606298,,,1.0606298,1.0606298
4/18/2016,1.2181964,,,1.2181964,1.2181964
4/19/2016,1.1577444,,,1.1577444,1.1577444
4/20/2016,1.1232445,,,1.1232445,1.1232445
4/21/2016,1.1232445,,,1.1232445,1.1232445
4/22/2016,1.1877615,,,1.1877615,1.1877615
4/23/2016,1.2490547,,,1.2490547,1.2490547
4/24/2016,1.3120646,,,1.3120646,1.3120646
4/25/2016,1.2490547,,,1.2490547,1.2490547
4/26/2016,1.1877615,,,1.1877615,1.1877615
4/27/2016,1.1232445,,,1.1232445,1.1232445
4/28/2016,1.0606298,,,1.0606298,1.0606298
4/29/2016,0.99986184,,,0.99986184,0.99986184
4/30/2016,0.9678863,,,0.9678863,0.9678863
5/1/2016,0.9678863,,,0.9678863,0.9678863
5/2/2016,0.936422,,,0.936422,0.936422
5/3/2016,0.9054607,,,0.9054607,0.9054607
5/4/2016,0.9054607,,,0.9054607,0.9054607
5/5/2016,0.8450154,,,0.8450154,0.8450154
5/6/2016,0.8749945,,,0.8749945,0.8749945
5/7/2016,0.936422,,,0.936422,0.936422
5/8/2016,0.99986184,,,0.99986184,0.99986184
5/9/2016,1.0606298,,,1.0606298,1.0606298
5/10/2016,1.1232445,,,1.1232445,1.1232445
5/11/2016,1.2490547,,,1.2490547,1.2490547
5/12/2016,1.3442287,,,1.3442287,1.3442287
5/13/2016,1.5003455,,,1.5003455,1.5003455
5/14/2016,1.5644841,,,1.5644841,1.5644841
5/15/2016,1.6242185,,,1.6242185,1.6242185
5/16/2016,1.5292981,,,1.5292981,1.5292981
5/17/2016,1.4660392,,,1.4660392,1.4660392
5/18/2016,1.4043629,,,1.4043629,1.4043629
5/19/2016,1.4378109,,,1.4378109,1.4378109
5/20/2016,1.4043629,,,1.4043629,1.4043629
5/21/2016,1.3768401,,,1.3768401,1.3768401
5/22/2016,1.5003455,,,1.5003455,1.5003455
5/23/2016,1.5941794,,,1.5941794,1.5941794
5/24/2016,1.6242185,,,1.6242185,1.6242185
5/25/2016,1.5644841,,,1.5644841,1.5644841
5/26/2016,1.5941794,,,1.5941794,1.5941794
5/27/2016,1.6242185,,,1.6242185,1.6242185
5/28/2016,1.6853445,,,1.6853445,1.6853445
5/29/2016,1.7797134,,,1.7797134,1.7797134
5/30/2016,1.9376497,,,1.9376497,1.9376497
5/31/2016,2.0338912,,,2.0338912,2.0338912
6/1/2016,2.0619636,,,2.0619636,2.0619636
6/2/2016,2.0619636,,,2.0619636,2.0619636
6/3/2016,2.0619636,,,2.0619636,2.0619636
6/4/2016,2.0902956,,,2.0902956,2.0902956
6/5/2016,2.1550047,,,2.1550047,2.1550047
6/6/2016,2.250873,,,2.250873,2.250873
6/7/2016,2.2809527,,,2.2809527,2.2809527
6/8/2016,2.2809527,,,2.2809527,2.2809527
6/9/2016,2.3419504,,,2.3419504,2.3419504
6/10/2016,2.4355795,,,2.4355795,2.4355795
6/11/2016,2.311311,,,2.311311,2.311311
6/12/2016,2.2809527,,,2.2809527,2.2809527
6/13/2016,2.1841977,,,2.1841977,2.1841977
6/14/2016,2.1260793,,,2.1260793,2.1260793
6/15/2016,2.1841977,,,2.1841977,2.1841977
6/16/2016,2.1405087,,,2.1405087,2.1405087
6/17/2016,2.1260793,,,2.1260793,2.1260793
6/18/2016,2.2062693,,,2.2062693,2.2062693
6/19/2016,2.2062693,,,2.2062693,2.2062693
6/20/2016,2.2359364,,,2.2359364,2.2359364
6/21/2016,2.1405087,,,2.1405087,2.1405087
6/22/2016,2.047895,,,2.047895,2.047895
